state name,quality parameter,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
ANDHRA PRADESH, Salinity,
GUJARAT, Salinity,
GUJARAT, Salinity,
GUJARAT, Salinity,
GUJARAT, Salinity,
GUJARAT, Salinity,
GUJARAT, Salinity,
GUJARAT, Salinity,
GUJARAT, Salinity,
GUJARAT, Salinity,
GUJARAT, Salinity,
GUJARAT, Salinity,
GUJARAT, Salinity,
GUJARAT, Salinity,
GUJARAT, Salinity,
GUJARAT, Salinity,
JAMMU AND KASHMIR, Salinity,
JAMMU AND KASHMIR, Salinity,
JAMMU AND KASHMIR, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
GUJARAT, Salinity,
GUJARAT, Salinity,
GUJARAT, Salinity,
GUJARAT, Salinity,
GUJARAT, Salinity,
GUJARAT, Salinity,
GUJARAT, Salinity,
GUJARAT, Salinity,
HARYANA, Salinity,
HARYANA, Salinity,
HARYANA, Salinity,
HARYANA, Salinity,
JAMMU AND KASHMIR, Salinity,
JAMMU AND KASHMIR, Salinity,
JAMMU AND KASHMIR, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
KARNATAKA, Salinity,
